: 1704400790:0;wg-quick up wg0
: 1704400804:0;sudo wg-quick up
: 1704400838:0;sudo wg-quick up /etc/wireguard/wg0.conf
: 1704400847:0;sudo wg-quick up /etc/wireguard/wg0.conf wg0
: 1704400861:0;cat ~/.bash_history | quick
: 1704400870:0;cat ~/.bash_history
: 1704400892:0;sudo wg-quick up wg0
: 1704400938:0;sudo wg-quick up
: 1704400964:0;sudo wg-quick up /etc/wireguard/wg0.conf
: 1704401127:0;sudo wg-quick down
: 1704401130:0;sudo wg-quick down wg0
: 1704401144:0;sudo wg-quick up wg0
: 1704401188:0;cd bin
: 1704401193:0;mkdir ~/bin
: 1704401195:0;cd bin
: 1704401200:0;wireup.sh
: 1704401205:0;vi wireup.sh
: 1704401265:0;chmod +x wireup.sh
: 1704401270:0;exit
: 1704401449:0;cd Downloads
: 1704401451:0;ls-al
: 1704401452:0;ls -al
: 1704401462:0;sudo dpkg -i code_1.85.1-1702462158_amd64.deb
: 1704401615:0;sudo apt-get install proxychains4
: 1704401635:0;sudo vi /etc/proxychains4.conf
: 1704401808:0;ls -al ~/Downloads
: 1704401863:0;proxychains4 sudo openvpn AirVPN_US-Atlanta-Georgia_Musca_TCP-443-Entry3.ovpn
: 1704401882:0;proxychains4 sudo openvpn ~/Downloads/AirVPN_US-Atlanta-Georgia_Musca_TCP-443-Entry3.ovpn
: 1704401914:0;proxychains4 firefox
: 1704402658:0;vi /etc/proxychains4.conf
: 1704402671:0;sudo vi /etc/proxychains4.conf
: 1704402690:0;proxychains4 firefox
: 1704402773:0;sudo apt-get tor
: 1704402777:0;sudo apt-get install tor
: 1704402798:0;sudo service tor start
: 1704402806:0;netstat -tulpn
: 1704402820:0;proxychains4 firefox
: 1704403696:0;sudo apt-get install neofetch
: 1704403702:0;neofetch
: 1704412570:0;sudo vi /etc/group
: 1704412596:0;sudo apt-get install docker.io containerd
: 1704412656:0;sudo vi /etc/group
: 1704412679:0;sudo docker run hello-world
: 1704412708:0;sudo apt-get install virtualbox vagrant
: 1704412883:0;printenv > "/tmp/tmp-36183eK6bhhOKICv9.txt"
: 1704413770:0;cd tools
: 1704413775:0;pwd
: 1704413778:0;ls -al
: 1704413791:0;mkdir CICD_Pipelines
: 1704413796:0;cd CICD_Pipelines
: 1704413835:0;python3 ../../libraries/python/gitlabarchiveprojects.py
: 1704413851:0;pip3 install python-gitlab python-dotenv
: 1704413867:0;brew
: 1704413879:0;sudo apt-get install python3 python3-pip
: 1704413916:0;pip3 install python-gitlab python-dotenv
: 1704413926:0;python3 ../../libraries/python/gitlabarchiveprojects.py
: 1704414165:0;pip3 install requests
: 1704414187:0;python3 gitlabarchive.py
: 1704418181:0;vboxmanage dhcpserver add --network=PentestNet --server-ip=172.30.1.1 --lower-ip=172.30.1.20 --upper-ip=172.30.1.50 --netmask=255.255.255.0 --enable
: 1704418231:0;vboxmanage dhcpserver add --network=HiddenNet --server-ip=10.11.12.1 --lower-ip=10.11.12.20 --upper-ip=10.11.12.50 --netmask=255.255.255.0 --enable
: 1704418282:0;vboxmanage dhcpserver add --network=RedTeamLab --server-ip=192.168.42.1 --lower-ip=192.168.42.20 --upper-ip=192.168.42.50 --netmask=255.255.255.0 --enable
: 1704420440:0;clear
: 1704423798:0;sudo systemctl enable --now pcscd
: 1704423867:0;sudo add-apt-repository ppa:yubico/stable && sudo apt-get update
: 1704423934:0;sudo apt install yubioath-desktop
: 1704424052:0;sudo systemctl enable --now pcscd
: 1704424172:0;sudo apt install yubikey-manager-qt
: 1704424194:0;sudo apt install libpam-u2f
: 1704424210:0;sudo apt install libpam-yubico
: 1704424229:0;sudo apt install yubikey-personalization-gui
: 1704424242:0;sudo apt install yubikey-manager
: 1704425076:0;cd jetbrains-toolbox-2.1.3.18901
: 1704425078:0;ls -al
: 1704425083:0;./jetbrains-toolbox
: 1704425185:0;history
: 1704451092:0;cd ~/
: 1704451095:0;pwd
: 1704451097:0;exit
: 1704451104:0;git status
: 1704451110:0;git add README.md
: 1704451121:0;git commit -m "Just getting something on record"
: 1704451355:0;git config --global user.email "developer@fatporkrinds.com"
: 1704451385:0;git config --global user.name "CICD Platform Frisbee Automated"
: 1704451391:0;git commit -m "Just getting something on record"
: 1704451396:0;git push origin main
: 1704451686:0;make setup-git
: 1704451801:0;brew install gh
: 1704451811:0;brew
: 1704451829:0;/bin/bash -c "$(curl -fsSL https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh)"
: 1704452144:0;(echo; echo 'eval "$(/home/linuxbrew/.linuxbrew/bin/brew shellenv)"') >> /home/administrator/.zshrc\

: 1704452156:0;eval "$(/home/linuxbrew/.linuxbrew/bin/brew shellenv)"\

: 1704452179:0;brew doctor
: 1704453018:0;make setup-github-repo
: 1704453211:0;make github-setup-repo
: 1704453353:0;make github-install-gh-cli:
: 1704453420:0;make install-gh
: 1704453500:0;make github-install-gh-cli
: 1704453538:0;make install-gh-cli
: 1704454349:0;make github-check-gh-cli
: 1704455576:0;./libraries/bash/install-gh-cli.sh
: 1704455590:0;chmod +x ./libraries/bash/install-gh-cli.sh
: 1704455594:0;./libraries/bash/install-gh-cli.sh
: 1704455607:0;make github-check-gh-cli
: 1704455800:0;gh
: 1704455804:0;make github-check-gh-cli
: 1704455817:0;make install-gh-cli
: 1704455924:0;make github-check-gh-cli
: 1704455961:0;source ~/.zshrc
: 1704455963:0;make github-check-gh-cli
: 1704456155:0;which brew
: 1704456162:0;make github-check-gh-cli
: 1704456203:0;make install-gh-cli
: 1704456628:0;make github-setup-repo
: 1704457777:0;make github-clone-repo
: 1704457835:0;git status
: 1704458020:0;git add *
: 1704458030:0;git commit -m "Testing new scripts"
: 1704458039:0;git push origin main
: 1704458043:0;git status
: 1704458052:0;git rm Makefile.SetupRepo
: 1704458059:0;git commit -m "Removed old file"
: 1704458064:0;git push origin main
: 1704466007:0;make vault
: 1704466018:0;sudo apt-get install docker-compose
: 1704466033:0;make vault
: 1704466106:0;sudo usermod -aG docker $USER\

: 1704466117:0;make vault
: 1704466142:0;sudo systemctl status docker\

: 1704466182:0;newgrp docker\

: 1704466186:0;make vault
: 1704466478:0;make ngest-secrets-into-vault
: 1704466532:0;make ingest-secrets-into-vault
: 1704466560:0;brew install vault
: 1704467326:0;make ingest-secrets-into-vault
: 1704467443:0;docker ps -a
: 1704467469:0;docker exec -it devopsvault /bin/sh
: 1704467593:0;make ingest-secrets-into-vault
: 1704467682:0;vault
: 1704467712:0;make ingest-secrets-into-vault
: 1704467804:0;export VAULT_ADDR=http://127.0.0.1:8200
: 1704467807:0;make ingest-secrets-into-vault
: 1704468049:0;vault policy list
: 1704468185:0;make ingest-secrets-into-vault
: 1704468287:0;vault token capabilities hvs.z2l5uIQM1Hkb6W6dxMrjkt1A secret/data/GITLAB_TOKEN\
vault token capabilities hvs.z2l5uIQM1Hkb6W6dxMrjkt1A secret/data/GITHUB_TOKEN\

: 1704468338:0;vault secrets list
: 1704468356:0;vault kv put secret/data/GITHUB_TOKEN value="test_value"\

: 1704468423:0;vault kv put secret/GITHUB_TOKEN value="test_value"\

: 1704468523:0;vault kv put secret/data/GITHUB_TOKEN value="test_value"\

: 1704468743:0;make ingest-secrets-into-vault
: 1704469108:0;vault secrets list
: 1704469187:0;make ingest-secrets-into-vault
: 1704469353:0;make test-vault-secret
: 1704469410:0;make test-vault-secret GITHUB_TOKEN
: 1704469431:0;make test-vault-secret SECRET_NAME=GITHUB_TOKEN
: 1704469442:0;make test-vault-secret SECRET_NAME=GITLAB_TOKEN
: 1704469474:0;make print-vault-secrets
: 1704469508:0;make test-vault-secret SECRET_NAME=GITLAB_TOKEN
: 1704469511:0;make test-vault-secret SECRET_NAME=GITHUB_TOKEN
: 1704469516:0;make ingest-secrets-into-vault
: 1704469797:0;history | grep brew
: 1704469810:0;history | grep apt
: 1704470193:0;make ingest-secrets-into-vault
: 1704470214:0;make print-vault-secrets
: 1704470232:0;make test-vault-secret SECRET_NAME=VAULT_TOKEN
: 1704470264:0;make ingest-secrets-into-vault
: 1704470345:0;vault kv put secret/data/VAULT_TOKEN value="hvs.z2l5uIQM1Hkb6W6dxMrjkt1A"\

: 1704470358:0;vault kv put kv/data/VAULT_TOKEN value="hvs.z2l5uIQM1Hkb6W6dxMrjkt1A"\

: 1704470383:0;make print-vault-secrets
: 1704470419:0;make test-vault-secret SECRET_NAME=VAULT_TOKEN
: 1704470576:0;make print-vault-secrets
: 1704470587:0;make test-vault-secret SECRET_NAME=VAULT_TOKEN
: 1704470866:0;chmod +x ./libraries/bash/vault_login.sh
: 1704470874:0;./libraries/bash/vault_login.sh
: 1704471014:0;git status
: 1704471019:0;git add Makefile
: 1704471027:0;git add Makefile.Vault
: 1704471033:0;git add README.md
: 1704471049:0;git add libraries/bash/vault_login.sh
: 1704471076:0;git commit -m "Starting DevOps Vault scripting almost done"
: 1704471080:0;git push origin main
: 1704471211:0;make test-vault-login
: 1704471339:0;git status
: 1704471344:0;git add *
: 1704471350:0;git commit -m "More Testing"
: 1704471354:0;git push origin main
: 1704471764:0;go mod init dev-api-backend
: 1704471770:0;brew install golang
: 1704473719:0;vi ~/.zshrfc
: 1704473726:0;vi ~/.zshrc
: 1704473755:0;source ~/.zshrc
: 1704473758:0;go version
: 1704473766:0;go mod init dev-api-backend
: 1704473779:0;go get github.com/mattn/go-sqlite3\
go get github.com/gorilla/mux
: 1704473922:0;go run .
: 1704474009:0;curl -H {x-api-key: all-work-and-no-play-makes-jack-a-dull-boy} http://127.0.0.1:8000
: 1704474086:0;curl --header "X-API-TOKEN: all-work-and-no-play-makes-jack-a-dull-boy " http://127.0.0.1:8000
: 1704474142:0;curl --header "X-API-TOKEN: all-work-and-no-play-makes-jack-a-dull-boy" http://127.0.0.1:8000\

: 1704474378:0;curl --header "X-API-Key: all-work-and-no-play-makes-jack-a-dull-boy" http://127.0.0.1:8000/health\

: 1704474484:0;make test-vault-login
: 1704474598:0;make ingest-secrets-into-vault
: 1704474926:0;make test-vault-login
: 1704475001:0;vault kv read kv/data/data/GO_API_Key
: 1704475010:0;vault kv get kv/data/data/GO_API_Key
: 1704475034:0;vault kv get kv/data//GO_API_Key
: 1704475048:0;make test-vault-login
: 1704475241:0;MY_VAULT_SECRET=$(vault kv get -field=value kv/GO-API-Key)
: 1704475336:0;make test-vault-secret $SECRET_NAME=GO-API-Key
: 1704475353:0;MY_VAULT_SECRET=$(vault kv get -field=value kv/data/GO-API-Key)
: 1704475376:0;vault kv list kv/
: 1704475428:0;make ingest-secrets-into-vault
: 1704475590:0;MY_VAULT_SECRET=$(vault kv get -field=value kv/data/GO-API-Key)
: 1704475603:0;MY_VAULT_SECRET=$(vault kv get -field=value kv/GO-API-Key)
: 1704475835:0;make ingest-secrets-into-vault
: 1704475843:0;MY_VAULT_SECRET=$(vault kv get -field=value kv/GO-API-Key)
: 1704475854:0;MY_VAULT_SECRET=$(vault kv get -field=value kv/data/GO-API-Key)
: 1704475902:0;vault kv get kv/GITLAB_TOKEN\

: 1704475912:0;vault kv get kv/GO-API-Key\

: 1704475928:0;vault kv get kv/data/GO-API-Key\

: 1704475947:0;make rint-vault-secrets
: 1704475954:0;make print-vault-secrets
: 1704476031:0;make ingest-secrets-into-vault
: 1704476081:0;vault kv get kv/data/GO-API-Key\

: 1704476095:0;vault get -mount="kv" "data/GO_API_Key"\

: 1704476110:0;vault get kv "data/GO_API_Key"\

: 1704476169:0;make ingest-secrets-into-vault
: 1704476229:0;vault kv get kv/GO-API-Key\

: 1704476240:0;vault list kv
: 1704476264:0;vault kv list
: 1704476270:0;vault kv list 
: 1704476431:0;vault kv get -mount=kv GO-API-Key
: 1704476555:0;make ingest-secrets-into-vault
: 1704476573:0;vault kv get -mount=kv GO-API-Key
: 1704476583:0;vault kv list 
: 1704476642:0;make ingest-secrets-into-vault
: 1704476665:0;vault kv get -mount=kv GO-API-Key
: 1704476741:0;make ingest-secrets-into-vault
: 1704476788:0;vault kv get -mount="kv" "GO_API_Key"
: 1704476799:0;vault kv get -mount=kv GO-API-Key
: 1704476808:0;vault kv get -mount=kv "GO-API-Key"
: 1704476824:0;vault kv get -mount="kv" "GO_API_Key"
: 1704476873:0;make ingest-secrets-into-vault
: 1704476885:0;vault kv get -mount="kv" "GO_API_Key"
: 1704476942:0;./libraries/bash/vault_login.sh
: 1704477007:0;curl http://127.0.0.1:8000/health
: 1704477033:0;./libraries/bash/vault_login.sh
: 1704477350:0;vault kv get -mount="kv" "GO_API_Key"
: 1704477596:0;./libraries/bash/vault_login.sh
: 1704478204:0;make ingest-secrets-into-vault
: 1704478544:0;vault kv get -mount="kv" "GO_API_Key"
: 1704478550:0;make ingest-secrets-into-vault
: 1704478713:0;vault kv get -mount="kv" "GO_API_Key"
: 1704478798:0;vault kv put -mount="kv" Credentials Passsword="Password123"
: 1704478811:0;vault kv get -mount="kv" "Credentials"
: 1704479177:0;make ingest-secrets-into-vault
: 1704479221:0;vault kv get -mount="kv" "Credentials"
: 1704479226:0;vault kv get -mount="kv" "GO_API_Key"
: 1704479242:0;make ingest-secrets-into-vault
: 1704479245:0;vault kv get -mount="kv" "GO_API_Key"
: 1704479401:0;make ingest-secrets-into-vault
: 1704479741:0;vault kv list
: 1704479744:0;vault list kv
: 1704479752:0;vault kv list kv
: 1704479772:0;vault secrets list
: 1704479821:0;vault secrets enable -version=2 -path=kv kv\

: 1704479912:0;make ingest-secrets-into-vault
: 1704480699:0;brew install dotenv-org/brew/dotenv-vault
: 1704481429:0;brew remove dotenv-org/brew/dotenv-vault
: 1704482778:0;git status
: 1704482786:0;git add Makefile.Vault
: 1704482795:0;git add libraries/bash/vault_login.sh
: 1704482804:0;git commit -m "Working but with an error"
: 1704482808:0;git push origin main
: 1704482921:0;make ingest-secrets-into-vault
: 1704483050:0;vault kv put --mount="kv" Credentials Password="Password123"
: 1704483637:0;vault secrets list -detailed
: 1704483853:0;git status
: 1704483860:0;git add Makefile.Vault
: 1704483874:0;git commit -m "Testing right now. Still getting error"
: 1704483878:0;git push origin main
: 1704484349:0;make build-geodesic
: 1704402869:83906;proxychains4 sudo openvpn ~/Downloads/AirVPN_US-Atlanta-Georgia_Musca_TCP-443-Entry3.ovpn
: 1704486802:0;wg-guick down
: 1704486809:0;cd ~/bin
: 1704486811:0;ls -al
: 1704486815:0;cat wireup.sh
: 1704486825:0;sudo wg-quick down wg0
: 1704486837:0;make build-geodesic
: 1704487080:0;vi ~/.zshrc
: 1704487147:0;source ~/.zshrc
: 1704487151:0;make build-geodesic
: 1704487173:0;frisbee
: 1704487183:0;clear
: 1704487201:0;chmod +x ./tools/geodesic/os/debian/kali.sh
: 1704487300:0;make build-geodesic
: 1704487500:0;chmod +x ./tools/geodesic/kali.sh
: 1704487510:0;make build-geodesic
: 1704487712:0;dodcker ps -a
: 1704487714:0;docker ps -a
: 1704487795:0;cp /home/administrator/.local/bin/frisbee /home/administrator/.local/bin/geodesic
: 1704487798:0;make build-geodesic
: 1704489849:0;git status
: 1704489853:0;git add Makefile
: 1704489876:0;git add tools/geodesic/kali.sh
: 1704489884:0;git status
: 1704489913:0;git add tools/geodesic/os/debian/Dockerfile.debian
: 1704489921:0;git commit -m "Testing some settings"
: 1704489925:0;git push origin main
: 1704489936:0;git status
: 1704489944:0;exit
: 1704508471:0;go build .
: 1704508586:0;make run-geodesic
: 1704508614:0;which geodesic
: 1704508690:0;make run-geodesic
: 1704508728:0;frisbee
: 1704508762:0;make run-geodesic
